chapter Number,Chapter Name,Total Verses,Verse Number,Sanskrit,English Translation,Explanation,youtubeLink,Image url
1,Arjuna Vishada Yoga,47,11,अयनेषु च सर्वेषु यथाभागमवस्थिताः | भीष्ममेवाभिरक्षन्तु भवन्तः सर्व एव हि || 11 ||,Ayaneshu Cha Sarveshu Yathābhāgamavasthitāḥ | Bhīshmamevābhirakshantu Bhavantah Sarva Eva Hi || 11 ||,"Duryodhana instructs his warriors to ensure that Bhishma, their most powerful and senior warrior, is well protected during the battle.",https://youtu.be/2m8lFkLOhFQ?si=_ZrzPxFxbQUUcCbD,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,12,तस्य सञ्जनयन्हर्षं कुरुवृद्धः पितामहः | सिंहनादं विनद्योच्चैः शङ्खं दध्मौ प्रतापवान् || 12 ||,Tasya Sanjanayanharsham Kuruvriddhah Pitāmahah | Simhanādam Vinadyocchaih Shankham Dadhmau Pratāpavān || 12 ||,"In response to Duryodhana’s words, Bhishma blows his conch to boost the morale of the Kaurava army, signaling the start of the battle.",https://youtu.be/NxvMOwMr6o4?si=iyPMyTjaVQe3fThJ,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,13,ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः | सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत् || 13 ||,Tatah Shankhāścha Bheryāścha Paṇavānakagomukhāḥ | Sahasaivābhyahanyanta Sa Shabdaḥ Tumulo’bhavat || 13 ||,"The blowing of Bhishma’s conch is followed by a cacophony of war sounds as the Kaurava army prepares for battle, creating a tumultuous atmosphere.",https://youtu.be/CZOzbCEaO_I?si=MZqM0FSpuQSG8aDW,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,14,ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ | माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः || 14 ||,Tatah Shvetairhayairyukte Mahati Syandane Sthitau | Mādhavah Pāndavaśchaiva Divyau Shankhau Pradadhmatuh || 14 ||,"Lord Krishna and Arjuna, the principal heroes of the Pandava side, also blow their conches, signaling their readiness for battle.",https://youtu.be/hqN2KgKPN3o?si=Lb_oVpbalxdModJp,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,15,पाञ्चजन्यं हृषीकेशो देवदत्तं धनञ्जयः | पौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदरः || 15 ||,Pāñchajanyam Hrisheekesho Devadattam Dhananjayah | Paundram Dadhmau Mahāshankham Bhīmakarmā Vrkodarah || 15 ||,"The verse describes the specific conches blown by Krishna, Arjuna, and Bhima, each of which has a significant name and represents their individual might and determination.",https://youtu.be/iwpc6tBnKjg?si=zBMK7bZEandZKaYh,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,16,अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः | नकुलः सहदेवश्च सुघोषमणिपुष्पकौ || 16 ||,Anantavijayam Rājā Kuntīputro Yudhishthirah | Nakulah Sahadevashcha Sughoshamaṇipushpakau || 16 ||,"The verse mentions the conches blown by the other Pandavas: Yudhishthira, Nakula, and Sahadeva, each with its own unique name and significance.",https://youtu.be/7cYTOx-wEpA?si=j7mQmTHgQgHMEeLe,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,17,काश्यश्च परमेष्वासः शिखण्डी च महारथः | धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजितः || 17 ||,Kāshyaścha Parameshvāsah Shikhandi Cha Mahārathah | Dhrishtadyumno Virātashcha Sātyakishchāparājitah || 17 ||,"The verse continues listing the warriors on the Pandava side, each of whom blows their conch to signal their participation in the battle.",https://youtu.be/7cYTOx-wEpA?si=j7mQmTHgQgHMEeLe,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,18,द्रुपदो द्रौपदेयाश्च सर्वशः पृथिवीपते | सौभद्रश्च महाबाहुः शङ्खान्दध्मुः पृथक्पृथक् || 18 ||,Drupado Draupadeyāścha Sarvashah Prithiveepate | Saubhadraścha Mahābāhuh Shankhāndadhmuh Prithakprithak || 18 ||,"The verse mentions the other important warriors on the Pandava side, including Drupada, the sons of Draupadi, and Abhimanyu, who also signal their readiness to fight.",https://youtu.be/7cYTOx-wEpA?si=j7mQmTHgQgHMEeLe,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,19,स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत् | नभश्च पृथिवीं चैव तुमुलोऽभ्यनुनादयन् || 19 ||,Sa Ghosho Dhārtarāshtrānām Hridāyāni Vyadārayat | Nabhahcha Prithiveem Chaiva Tumulo’bhyānunādayan || 19 ||,The combined sound of the Pandavas’ conches is so powerful that it strikes fear into the hearts of the Kauravas.,https://youtu.be/fCHCWGlYu_o?si=ZL8uvbYRFi2Gls9e,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,20,अथ व्यवस्थितान्दृष्ट्वा धार्तराष्ट्रान्कपिध्वजः | प्रवृत्ते शस्त्रसंपाते धनुरुद्यम्य पाण्डवः || 20 ||,Atha Vyavasthitān Drishtvā Dhārtarāshtrānkapidhvajah | Pravritte Shastrasampāte Dhanurudyamya Pāndavah || 20 ||,"Arjuna, the great warrior of the Pandavas, prepares himself for battle, taking up his bow as the fight is about to begin.",https://youtu.be/ZRu7I7ab7B0?si=-LTfQ_fR2-t-afd_,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,21,हृषीकेशं तदा वाक्यमिदमाह महीपते | अर्जुन उवाच | सेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत || 21 ||,Hrishikesham Tadā Vākyamidamāha Maheepate | Arjuna Uvācha: Senayorubhayormadhye Ratham Sthāpaya Me’chuta || 21 ||,"Arjuna asks Krishna, his charioteer, to position the chariot between the two armies so that he can observe those who have gathered for battle.",https://youtu.be/f4ICOpsWQQ4?si=qYHDJEwIu_6pOq-e,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,22,यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान् | कैर्मया सह योद्धव्यमस्मिन्रणसमुद्यमे || 22 ||,Yāvadetānnireekshe’ham Yoddhukāmānavasthitān | Kairmayā Saha Yoddhavyamasminraṇasamudyame || 22 ||,"Arjuna wants to see who is on the battlefield, ready to fight, so that he can assess whom he will be confronting in the battle.",https://youtu.be/f4ICOpsWQQ4?si=qYHDJEwIu_6pOq-e,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,23,योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागताः | धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीर्षवः || 23 ||,Yotsyamānānavekshe’ham Ya Ete’tra Samāgatāh | Dhārtarāshtrasya Durbuddheryuddhe Priyachikeershavah || 23 ||,"Arjuna expresses a desire to see the warriors who have gathered to fight for Duryodhana, the son of Dhritarashtra, whom he considers to be of wicked intent.",https://youtu.be/0Yw8HDP5gfk?si=R5zfT7KxNLIFpzD1,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,24,सञ्जय उवाच | एवमुक्तो हृषीकेशो गुडाकेशेन भारत | सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम् || 24 ||,Sanjaya Uvācha: Evamukto Hrisheekesho Guḍākeśena Bhārata | Senayorubhayormadhye Sthāpayitvā Rathottamam || 24 ||,"Sanjaya narrates that Krishna, on Arjuna’s request, placed the chariot between the two armies, giving Arjuna a clear view of both sides.",https://youtu.be/vxfZM4umy4s?si=ciw5w70QrAw98ho5,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,25,भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम् | उवाच पार्थ पश्यैतान्समवेतान्कुरूनिति || 25 ||,Bheeshma-Dronapramukhatah Sarveshām Cha Maheekshitām | Uvācha Pārtha Pashyaitān Samavetān Kurooniti || 25 ||,"Krishna points out to Arjuna the assembled warriors on the battlefield, especially drawing attention to Bhishma, Drona, and others.",https://youtu.be/xsRJj9kupW8?si=VAWjG09-WNoQMwna,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,26,तत्रापश्यत्स्थितान्पार्थः पितॄ नथ पितामहान् | आचार्यान्मातुलान्भ्रातॄन्पुत्रान्पौत्रान्सखींस्तथा || 26 ||,Tatrāpaśhyat Sthitān Pārthah Pitṝnatha Pitāmahān | Āchāryān Mātulān Bhrātrṝn Putrān Poutrān Sakhīn Tathā || 26 ||,"Arjuna sees many of his relatives and close ones on the battlefield, including his elders, teachers, and dear friends, all ready to fight.",https://youtu.be/YGyje4uw258?si=nrtuorYkGYZnnIqi,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,27,श्वशुरान्सुहृदश्चैव सेनयोरुभयोरपि | तान्समीक्ष्य स कौन्तेयः सर्वान्बन्धूनवस्थितान् || 27 ||,Shwashurān Suhridashchaiva Senayorubhayorapi | Tānsameekshya Sa Kaunteyah Sarvān Bandhoonavasthitān || 27 ||,"Arjuna notices the presence of his family members, including fathers-in-law and well-wishers, on both sides, which deeply disturbs him.",https://youtu.be/khZ2A3ibbA8?si=PcbHC4EJbAAZ4aBx,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,28,कृपया परयाविष्टो विषीदन्निदमब्रवीत् | अर्जुन उवाच | दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम् || 28 ||,Kripayā Parayāviṣhṭo Viṣhīdannidamabravīt | Arjuna Uvācha: Dṛiṣhṭvemaṁ Swajanaṁ Krishna Yuyutsuṁ Samupasthitam || 28 ||,"Overcome by compassion and sorrow, Arjuna is dismayed to see his own relatives on the battlefield, ready to fight against each other.",https://youtu.be/2JSV3SSiWKw?si=Bvi3GACtZlg0JxTG,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,29,सीदन्ति मम गात्राणि मुखं च परिशुष्यति | वेपथुश्च शरीरे मे रोमहर्षश्च जायते || 29 ||,Sīdanti Mama Gātrāṇi Mukhaṁ Cha Pariśhuṣhyati | Vepathuśhcha Sharīre Me Romaharṣhaśhcha Jāyate || 29 ||,"Arjuna describes the physical symptoms of his inner turmoil, expressing the intense emotional conflict he feels at the prospect of fighting against his own kin.",https://youtu.be/AkDoTeomtVc?si=tTLZKxvsR9tktvLE,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,30,गाण्डीवं स्रंसते हस्तात्त्वक्चैव परिदह्यते | न च शक्नोम्यवस्थातुं भ्रमतीव च मे मनः || 30 ||,Gāṇḍīvaṁ Sraṁsate Hastāttvakchaiva Paridahyate | Na Cha Shaknomyavasthātuṁ Brahmatīva Cha Me Manaḥ || 30 ||,"Arjuna, overwhelmed by his emotions, finds himself physically unable to continue. His mind is in turmoil, and he feels incapacitated.",https://youtu.be/hqEX1PNf9wE?si=YMIdTs_3wRJt-ePx,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,31,निमित्तानि च पश्यामि विपरीतानि केशव | न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे || 31 ||,Nimittāni Cha Paśhyāmi Viparītāni Keśhava | Na Cha Śhreyo’nupaśhyāmi Hatvā Swajanamāhave || 31 ||,Arjuna perceives negative omens and believes that nothing good can come from engaging in a battle that will lead to the death of his own relatives.,https://youtu.be/V11UK2AytLA?si=bmDs1f_eNQJUGkYe,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,32,न काङ्क्षे विजयं कृष्ण न च राज्यं सुखानि च | किं नो राज्येन गोविन्द किं भोगैर्जीवितेन वा || 32 ||,Na Kāṅkṣhe Vijayaṁ Krishna Na Cha Rājyaṁ Sukhāni Cha | Kiṁ No Rājyena Govinda Kiṁ Bhogairjīvitena Vā || 32 ||,"Arjuna questions the purpose of the war, stating that he has no desire for victory, power, or pleasure if it comes at the cost of killing his loved ones.",https://youtu.be/FA5MLg_aAdA?si=0bSm4HTxei08lbhv,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,33,येषामर्थे काङ्क्षितं नो राज्यं भोगाः सुखानि च | त इमेऽवस्थिता युद्धे प्राणांस्त्यक्त्वा धनानि च || 33 ||,Yeṣhāmarthe Kāṅkṣhitaṁ No Rājyaṁ Bhogāḥ Sukhāni Cha | Ta Ime’vasthitā Yuddhe Prāṇāṁstyaktvā Dhanāni Cha || 33 ||,"Arjuna reflects that those for whom he seeks victory are the very people who are ready to fight and die on the battlefield, making the pursuit of such goals meaningless.",https://youtu.be/FA5MLg_aAdA?si=0bSm4HTxei08lbhv,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,34,आचार्याः पितरः पुत्रास्तथैव च पितामहाः | मातुलाः श्वशुराः पौत्राः श्यालाः सम्बन्धिनस्तथा || 34 ||,Āchāryāḥ Pitarah Putrās Tathaiva Cha Pitāmahāḥ | Mātulāḥ Śhwaśhurāḥ Poutrāḥ Śhyālāḥ Sambandhinas Tathā || 34 ||,"Arjuna lists the relationships he sees on the battlefield, emphasizing the familial ties that make the prospect of war so distressing for him.",https://youtu.be/FA5MLg_aAdA?si=0bSm4HTxei08lbhv,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,35,एतान्न हन्तुमिच्छामि घ्नतोऽपि मधुसूदन | अपि त्रैलोक्यराज्यस्य हेतोः किं नु महीकृते || 35 ||,Etān Na Hantumichhāmi GhNato’pi Madhusūdana | Api Trailokyarājyasya Hetoḥ Kiṁ Nu Maheekrite || 35 ||,"Arjuna declares that he does not desire to kill his relatives even if it would gain him dominion over the entire universe, let alone for mere earthly power.",https://youtu.be/FA5MLg_aAdA?si=0bSm4HTxei08lbhv,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,36,निहत्य धार्तराष्ट्रान्नः का प्रीतिः स्याज्जनार्दन | पापमेवाश्रयेदस्मान्हत्वैतानाततायिनः || 36 ||,Nihatya Dhārtarāṣhṭrān Naḥ Kā Prītiḥ Syājjanārdana | Pāpamevāśhrayedasmān Hatvaitānātatāyinaḥ || 36 ||,"Arjuna argues that even though the Kauravas are aggressors, killing them will only bring sin and no real happiness.",https://youtu.be/5jwh2ITFH7U?si=I90ib-slIJ9pDAjB,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,37,तस्मान्नार्हा वयं हन्तुं धार्तराष्ट्रान्स्वबान्धवान् | स्वजनं हि कथं हत्वा सुखिनः स्याम माधव || 37 ||,Tasmān Nārhā Vayaṁ Hantuṁ Dhārtarāṣhṭrān Svabāndhavān | Swajanaṁ Hi Kathaṁ Hatvā Sukhinah Syāma Mādhava || 37 ||,"Arjuna concludes that killing his own relatives, the sons of Dhritarashtra, would not bring happiness, and thus, they should not engage in such an act.",https://youtu.be/BlrJDreEZTQ?si=TvaFYrfeY-aplHNF,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,38,यद्यप्येते न पश्यन्ति लोभोपहतचेतसः | कुलक्षयकृतं दोषं मित्रद्रोहे च पातकम् || 38 ||,Yadyapyete Na Pashyanti Lobhopahatachetasah | Kulakṣhayakṛitaṁ Doṣhaṁ Mitradrohe Cha Pātakam || 38 ||,"Arjuna acknowledges that the Kauravas, blinded by greed, are unable to see the grave consequences of destroying their own family and betraying friends.",https://youtu.be/BlrJDreEZTQ?si=TvaFYrfeY-aplHNF,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,39,कथं न ज्ञेयमस्माभिः पापादस्मान्निवर्तितुम् | कुलक्षयकृतं दोषं प्रपश्यद्भिर्जनार्दन || 39 ||,Katham Na Jñeyamasmābhih Pāpādasmānnivartitum | Kulakṣhayakṛitaṁ Doṣhaṁ Prapaśhyadbhiḥ Janārdana || 39 ||,"Arjuna questions how they, who understand the sin involved in killing their own relatives, could choose to commit such an act.",https://youtu.be/KLOWn6m0uSI?si=RR13lg1Cea9YLn7a,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,40,कुलक्षये प्रणश्यन्ति कुलधर्माः सनातनाः | धर्मे नष्टे कुलं कृत्स्नमधर्मोऽभिभवत्युत || 40 ||,Kulakṣhaye Praṇaśhyanti Kuladharmāḥ Sanātanāh | Dharme Naṣhṭe Kulaṁ Kṛitsnam Adharmo’bhibhavatyuta || 40 ||,"Arjuna laments that the destruction of a family leads to the loss of its traditions and moral values, and without law, the entire family falls into chaos.",https://youtu.be/dijMr-9sUyk?si=oKOZa1dto9mu6Qt2,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,41,अधर्माभिभवात्कृष्ण प्रदुष्यन्ति कुलस्त्रियः | स्त्रीषु दुष्टासु वार्ष्णेय जायते वर्णसङ्करः || 41 ||,Adharmābhibhavāt Krishna Praduṣhyanti Kulastriyah | Strīṣhu Duṣṭāsu Vārṣhṇeya Jāyate Varṇa-saṅkaraḥ || 41 ||,"Arjuna points out that the degradation of women due to lawlessness results in societal disorder and moral decay, leading to undesirable social consequences.",https://youtu.be/I0bls7y6olo?si=RuyeyARMDsH3qD8d,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,42,सङ्करो नरकायैव कुलघ्नानां कुलस्य च | पतन्ति पितरो ह्येषां लुप्तपिण्डोदकक्रियाः || 42 ||,Saṅkaro Narakāyaiva Kulaghnānāṁ Kulasya Cha | Patanti Pitaro Hyeṣhāṁ Luptapiṇḍodakakriyāh || 42 ||,"Arjuna describes how societal disorder causes the family to fall into hell, and their ancestors suffer due to the discontinuation of ancestral rites.",https://youtu.be/eBcWNIlKqzk?si=PR1f_A2oAlpfDoC8,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,43,दोषैरेतैः कुलघ्नानां वर्णसङ्करकारकैः | उत्साद्यन्ते जातिधर्माः कुलधर्माश्च शाश्वताः || 43 ||,Doṣhairetaih Kulaghnānāṁ Varṇasaṅkarakārakaih | Utsādyante Jātidharmāh Kuladharmāśhcha Śhāśhvatāh || 43 ||,Arjuna laments that the sinful actions leading to societal disorder also result in the destruction of long-standing family and social traditions.,https://youtu.be/YNCSfitaKZk?si=QmVqUXvCbeOxfsaN,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
1,Arjuna Vishada Yoga,47,44,आश्चर्यम् मा प्रेत्य विषमश्च विवेदनद्वारे विविधानां दृश्यं तु न कोऽपि न मणिज्ञातम्,Utsannakuladharmāṇāṁ Manushyāṇāṁ Janārdana | Narake’niyataṁ Vāso Bhavatītyanuśhuśhruma || 44 ||,Arjuna recalls that those who abandon their family traditions are doomed to suffer in hell indefinitely.,https://youtu.be/bgA7_4wwhyg?si=gCSJJJNMBWNPe9wk,https://drive.google.com/file/d/1HahM3n8f4myK6qB5XTe06wx37FIWGK16/view?usp=drive_link
